Module,Function,Settings,Explanation
builtin.re,compile(pattern),flags=0,"Compile a regular expression pattern into a regular expression object, which can be used for matching using its match() and search() methods, described below.
The expression's behaviour can be modified by specifying a flags value.
**flags**
-- The value of flags which are available:
re.DEBUG
Display debug information about compiled expression.
re.I
re.IGNORECASE
Perform case-insensitive matching; expressions like [A-Z] will match lowercase letters, too. This is not affected by the current locale. To get this effect on non-ASCII Unicode characters such as ¨¹ and  , add the UNICODE flag.
re.L
re.LOCALE
Make \w, \W, \b, \B, \s and \S dependent on the current locale.
re.M
re.MULTILINE
When specified, the pattern character '^' matches at the beginning of the string and at the beginning of each line (immediately following each newline); and the pattern character '$' matches at the end of the string and at the end of each line (immediately preceding each newline). By default, '^' matches only at the beginning of the string, and '$' only at the end of the string and immediately before the newline (if any) at the end of the string.
re.S
re.DOTALL
Make the '.' special character match any character at all, including a newline; without this flag, '.' will match anything except a newline.
re.U
re.UNICODE
Make the \w, \W, \b, \B, \d, \D, \s and \S sequences dependent on the Unicode character properties database. Also enables non-ASCII matching for IGNORECASE.
New in version 2.0.
re.X
re.VERBOSE
This flag allows you to write regular expressions that look nicer and are more readable by allowing you to visually separate logical sections of the pattern and add comments. Whitespace within the pattern is ignored, except when in a character class or when preceded by an unescaped backslash. When a line contains a # that is not in a character class and is not preceded by an unescaped backslash, all characters from the leftmost such # through the end of the line are ignored."
builtin.re,"findall(pattern, string)",flags=0,"Return all non-overlapping matches of pattern in string, as a list of strings. The string is scanned left-to-right, and matches are returned in the order found. If one or more groups are present in the pattern, return a list of groups; this will be a list of tuples if the pattern has more than one group. Empty matches are included in the result unless they touch the beginning of another match.
New in version 1.5.2.
Changed in version 2.4: Added the optional flags argument."
builtin.re,"search(pattern, string)",flags=0,"Scan through string looking for a match to the pattern, returning a match object, or None if no match was found."
builtin.re,"sub(pattern, repl, string)","count=0, flags=0","Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl. If the pattern isn't found, string is returned unchanged. repl can be a string or a function; if it is a string, any backslash escapes in it are processed. That is, \n is converted to a single newline character, \r is converted to a carriage return, and so forth. Unknown escapes such as \& are left alone. Backreferences, such as \6, are replaced with the substring matched by group 6 in the pattern.
If repl is a function, it is called for every non-overlapping occurrence of pattern. The function takes a single match object argument, and returns the replacement string.
The pattern may be a string or an RE object.
The optional argument count is the maximum number of pattern occurrences to be replaced; count must be a non-negative integer. If omitted or zero, all occurrences will be replaced. Empty matches for the pattern are replaced only when not adjacent to a previous match, so sub('x*', '-', 'abc') returns '-a-b-c-'."
builtin.re.match*,end(),[group],Return the indices of the end of the substring matched by group; group defaults to zero (meaning the whole matched substring).
builtin.re.match*,group(),"[group1, ...]","Returns one or more subgroups of the match. If there is a single argument, the result is a single string; if there are multiple arguments, the result is a tuple with one item per argument. Without arguments, group1 defaults to zero (the whole match is returned). If a groupN argument is zero, the corresponding return value is the entire matching string; if it is in the inclusive range [1..99], it is the string matching the corresponding parenthesized group. "
builtin.re.match*,groups(),default=None,"Return a tuple containing all the subgroups of the match, from 1 up to however many groups are in the pattern. The default argument is used for groups that did not participate in the match; it defaults to None."
builtin.re.match*,start(),[group],Return the indices of the start of the substring matched by group; group defaults to zero (meaning the whole matched substring).
builtin.set*,add(elem),,"Add element *elem* to the set.
-- If *elem* has already exist, then do nothing."
builtin.set*,issubset(other),,Test whether every element in the set is in *other*.
builtin.set*,union(*others),,Return a new set with elements from the set and all others.
builtin.str*,capitalize(),,Return a copy of the string with its first character capitalized and the rest lowercased.
builtin.str*,"count(self, sub)","start=None, end=None","S.count(sub[, start[, end]]) -> int
Return the number of non-overlapping occurrences of substring sub in string S[start:end].  Optional arguments start and end are interpreted as in slice notation."
builtin.str*,"find(self, sub)","start=None, end=None","S.find(sub[, start[, end]]) -> int
Return the lowest index in S where substring sub is found, such that sub is contained within S[start:end].  Optional arguments start and end are interpreted as in slice notation.
Return -1 on failure."
builtin.str*,"format(*args, **kwargs)",,"Return a formatted version of S, using substitutions from args and kwargs. The substitutions are identified by braces ('{' and '}')."
builtin.str*,index(sub),"[, start[, end]]","Like find(), but raise ValueError when the substring is not found."
builtin.str*,isspace(),,"Return true if there are only whitespace characters in the string and there is at least one character, false otherwise. Whitespace characters are those characters defined in the Unicode character database as ¡°Other'' or ¡°Separator'' and those with bidirectional property being one of ¡°WS'', ¡°B'', or ¡°S''."
builtin.str*,join(iterable),,"Return a string which is the concatenation of the strings in the iterable *iterable*. **A TypeError** will be raised if there are any non-string values in iterable, including bytes objects. The separator between elements is the string providing this method."
builtin.str*,lower(),,Return a copy of the string with all the cased characters converted to lowercase.
builtin.str*,lstrip([chars]),,"Return a copy of the string with leading characters removed. The *chars* argument is a string specifying the set of characters to be removed. If omitted or None, the *chars* argument defaults to removing whitespace. The *chars* argument is not a prefix; rather, all combinations of its values are stripped."
builtin.str*,"replace(old, new)",count=None,"S.replace(old, new[, count]) -> str
Return a copy of S with all occurrences of substring old replaced by new.  If the optional argument count is given, only the first count occurrences are replaced."
builtin.str*,rstrip([chars]),,"Return a copy of the string with trailing characters removed. The *chars* argument is a string specifying the set of characters to be removed. If omitted or None, the *chars* argument defaults to removing whitespace. The *chars* argument is not a suffix; rather, all combinations of its values are stripped."
builtin.str*,split(),"sep=None, maxsplit=-1","Return a list of the words in the string, using *sep* as the delimiter string. If *maxsplit* is given, at most *maxsplit* splits are done (thus, the list will have at most *maxsplit* + 1 elements). If *maxsplit* is not specified or -1, then there is no limit on the number of splits (all possible splits are made)."
builtin.str*,splitlines(),[keepends],"Return a list of the lines in the string, breaking at line boundaries. Line breaks are not included in the resulting list unless keepends is given and true."
builtin.str*,startswith(prefix),"[, start[, end]]","Return True if string starts with the prefix, otherwise return False. prefix can also be a tuple of prefixes to look for. With optional start, test string beginning at that position. With optional end, stop comparing string at that position."
builtin.str*,strip([chars]),,"Return a copy of the string with the leading and trailing characters removed. The *chars* argument is a string specifying the set of characters to be removed. If omitted or None, the *chars* argument defaults to removing whitespace. The *chars* argument is not a prefix or suffix; rather, all combinations of its values are stripped."
builtin.str*,title(),,Return a titlecased version of the string where words start with an uppercase character and the remaining characters are lowercase.
builtin.str*,upper(),,Return a copy of the string with all the cased characters converted to uppercase.
builtin.subprocess,call(*popenargs),"timeout=None, **kwargs","Run command with arguments. Wait for command to complete or timeout, then return the returncode attribute.
-- Remember add: *shell=True*"
builtin.sys,.path,,"A list of strings that specifies the search path for modules. Initialized from the environment variable PYTHONPATH, plus an installation-dependent default."
builtin.threading,active_count(),,Return the number of Thread objects currently alive.
builtin.threading,Thread(),,A class that represents a thread of control.
builtin.time,localtime(),seconds=None,"Like gmtime() but converts to local time. If secs is not provided or None, the current time as returned by time() is used. The dst flag is set to 1 when DST applies to the given time."
builtin.time,sleep(seconds),,"Suspend execution of the current thread for the given number of seconds. The argument may be a floating point number to indicate a more precise sleep time. The actual suspension time may be less than that requested because any caught signal will terminate the sleep() following execution of that signal¡¯s catching routine. Also, the suspension time may be longer than requested by an arbitrary amount because of the scheduling of other activity in the system."
builtin.time,time(),,"time() -> floating point number
Return the current time in seconds since the Epoch.
Fractions of a second may be present if the system clock provides them."
cx_Oracle,connect(),"mode=None, handle=None, pool=None
threaded=False, events=False
cclass=None, purity=None
newpassword=None, encoding=None
nencoding=None, edition=None
appcontext=[], tag=None, matchanytag=None
shardingkey=[], supershardingkey=[]","Constructor for creating a connection to the database. Return a connection object. All parameters are optional and can be specified as keyword parameters.

# example: conn = cx_Oracle.connect('username', 'password', 'hosta:1521/orcl')"
cx_Oracle,cursor(connection),,Constructor for creating a cursor. Return a new cursor object using the connection.
flask,Flask(_PackageBoundObject),,"The flask object implements a WSGI application and acts as the central object.  It is passed the name of the module or package of the application.  Once it is created it will act as a central registry for the view functions, the URL rules, template configuration and much more.
The name of the package is used to resolve resources from inside the package or the folder the module is contained in depending on if the package parameter resolves to an actual python package (a folder with an :file:`__init__.py` file inside) or a standard module (just a ``.py`` file)."
flask,"route(rule, **options)",,"A decorator that is used to register a view function for a given URL rule.  This does the same thing as :meth:`add_url_rule` but is intended for decorator usage::
 @app.route('/')
    def index():
        return 'Hello World'
**rule**
the URL rule as string.
**options**
the options to be forwarded to the underlying :class:`~werkzeug.routing.Rule` object.  A change to Werkzeug is handling of method options.  methods is a list of methods this rule should be limited to (``GET``, ``POST`` etc.).  By default a rule just listens for ``GET`` (and implicitly ``HEAD``).
Starting with Flask 0.6, ``OPTIONS`` is implicitly added and handled by the standard request handling."
flask,run(),"host=None, port=None
debug=None, **options","Runs the application on a local development server.
**host**
the hostname to listen on. Set this to ``'0.0.0.0'`` to have the server available externally as well. Defaults to ``'127.0.0.1'``.
**port**
the port of the webserver. Defaults to ``5000`` or the port defined in the ``SERVER_NAME`` config variable if present.
**debug**
if given, enable or disable debug mode. See :attr:`debug`."
jieba,add_word(word),"freq=None, tag=None","Add a word to dictionary.
freq and tag can be omitted, freq defaults to be a calculated value that ensures the word can be cut out."
jieba,cut(sentence),"cut_all=False, HMM=True","The main function that segments an entire sentence that contains Chinese characters into seperated words.
**sentence**
The str(unicode) to be segmented.
**cut_all**
Model type. True for full pattern, False for accurate pattern.
**HMM**
Whether to use the Hidden Markov Model."
jieba,cut_for_search(sentence),HMM=True,Finer segmentation for search engines.
jieba,extract_tags(sentence),"topK=20, withWeight=False,
allowPOS=(), withFlag=False","Extract keywords from sentence using TF-IDF algorithm.
**topK**
return how many top keywords. `None` for all possible words.
**withWeight**
if True, return a list of (word, weight); if False, return a list of words.
**allowPOS**
the allowed POS list eg. ['ns', 'n', 'vn', 'v','nr']. if the POS of w is not in this list,it will be filtered.
**withFlag**
only work with allowPOS is not empty. if True, return a list of pair(word, weight) like posseg.cut; if False, return a list of words"
jieba,lcut(sentence),"cut_all=False, HMM=True","The main function that segments an entire sentence that contains Chinese characters into seperated words.
-- Return a list rather than a generator.
**sentence**
The str(unicode) to be segmented.
**cut_all**
Model type. True for full pattern, False for accurate pattern.
**HMM**
Whether to use the Hidden Markov Model."
jieba,lcut_for_search(sentence),HMM=True,"Finer segmentation for search engines.
-- Return a list rather than a generator."
jieba,load_userdict(f),,Load personalized dict to improve detect rate.
jieba,suggest_freq(segment),tune=True,Suggest word frequency to force the characters in a word to be joined or splitted.
matplotlib.pyplot,plot(),"*args, **kwargs","Plot lines and/or markers to the Axes. args is a variable length argument, allowing for multiple x, y pairs with an optional format string. For example, each of the following is legal:"
matplotlib.pyplot,"scatter(x, y)","s=None, c=None, marker=None
..., **kwargs","Make a scatter plot of *x* vs *y*
Marker size is scaled by *s* and marker color is mapped to *c*."
multiprocessing,Array(),"typecode_or_type, size_or_initializer, *, lock=True",Return a ctypes array allocated from shared memory. By default the return value is actually a synchronized wrapper for the array.
multiprocessing,cpu_count(),,"Return the number of CPUs in the system.
This number is not equivalent to the number of CPUs the current process can use. The number of usable CPUs can be obtained with len(os.sched_getaffinity(0))
# The result is equal to os.cpu_count(), the id() is the same."
multiprocessing,Lock(),,Return a synchronization wrapper for a RawArray
multiprocessing,Pipe(),duplex = True,"Returns a pair (conn1, conn2) of Connection objects representing the ends of a pipe.
If duplex is True (the default) then the pipe is bidirectional. If duplex is False then the pipe is unidirectional: conn1 can only be used for receiving messages and conn2 can only be used for sending messages.
# The class of conn1, conn2 is multiprocessing.connection.PipeConnection*."
